Epoch,Train Loss,Learning Rate,Rmse Train,Mae Train,R2 Train
1,1118031316.77719,0.009001,33436.97529348596,28975.23682782288,-5.294607437896719
2,876525489.1911018,0.008002,29606.173160189115,25187.322552894777,-3.9349099448060603
3,404547795.3118841,0.007003,20113.373543786347,16082.274785340163,-1.2776370600201954
4,110958435.53025022,0.006004,10533.681005719234,8371.725548203784,0.3752949643670075
5,103370281.74888119,0.005005,10167.117671635406,8262.941979770609,0.41801688862383
6,103210223.91103381,0.004005999999999999,10159.243274527571,8266.322083340441,0.418918027296324
7,103571315.64483258,0.0030069999999999993,10176.999343855365,8307.83150204371,0.4168850514044812
8,102284567.67071721,0.0020079999999999994,10113.583324950523,8211.87730916333,0.4241295473743365
9,100609446.15383773,0.0010089999999999995,10030.426020555538,8104.443311287696,0.4335606180440975
10,100224204.06877367,1e-05,10011.203927039627,8115.917522991763,0.43572956238192206
1,1118031316.77719,0.009001,33436.97529348596,28975.23682782288,-5.294607437896719
2,876525489.1911018,0.008002,29606.173160189115,25187.322552894777,-3.9349099448060603
3,404547795.3118841,0.007003,20113.373543786347,16082.274785340163,-1.2776370600201954
4,110958435.53025022,0.006004,10533.681005719234,8371.725548203784,0.3752949643670075
5,103370281.74888119,0.005005,10167.117671635406,8262.941979770609,0.41801688862383
6,103210223.91103381,0.004005999999999999,10159.243274527571,8266.322083340441,0.418918027296324
7,103571315.64483258,0.0030069999999999993,10176.999343855365,8307.83150204371,0.4168850514044812
8,102284567.67071721,0.0020079999999999994,10113.583324950523,8211.87730916333,0.4241295473743365
9,100609446.15383773,0.0010089999999999995,10030.426020555538,8104.443311287696,0.4335606180440975
10,100224204.06877367,1e-05,10011.203927039627,8115.917522991763,0.43572956238192206
