Epoch,Train Loss,Val Loss,Learning Rate,RMSE,MAE,R2
1,0.24806927398761858,0.2105017677158383,3.8674102345450124e-06,25870.87838186685,23250.551582638436,-3.9916542233091663
2,0.2473754254057327,0.21014802992942738,1.4956861922263507e-06,25849.131877673528,23226.396454288344,-3.9832659958151995
3,0.24710775398667267,0.21001141160732575,5.784432087483849e-07,25840.72818440869,23217.06072274722,-3.980026348795132
4,0.2470043342236946,0.2099586035775826,2.2370771856165602e-07,25837.479113974845,23213.451116404223,-3.978774105512082
5,0.24696435246747842,0.20993818471444836,8.651695203120635e-08,25836.222712074108,23212.055268738684,-3.978289910507428
6,0.24694889211137577,0.2099302885257798,3.3459654574712753e-08,25835.736831890827,23211.51545740184,-3.978102667217536
7,0.24694291329081605,0.20992723483892217,1.2940221054658492e-08,25835.548925377945,23211.306693236816,-3.9780302547667254
8,0.2469406010854947,0.20992605386688534,5.004514334406108e-09,25835.476254712397,23211.22595602227,-3.978002250232044
9,0.2469397068683001,0.20992559713863665,1.935450995580942e-09,25835.448150058342,23211.194731696913,-3.9779914197790918
10,0.24693936103894218,0.20992542050339827,7.48518298877006e-10,25835.43728084667,23211.18265597949,-3.97798723120603
11,0.24693922729270956,0.2099253521913521,2.8948273298211575e-10,25835.43307727826,23211.17798580569,-3.977985611314101
12,0.24693917556757944,0.20992532577228823,1.1195484842590962e-10,25835.43145158616,23211.176179658127,-3.9779849848356053
13,0.2469391555633535,0.2099253155549537,4.329753266092979e-11,25835.430822864364,23211.175481146787,-3.977984742550695
14,0.24693914782689919,0.20992531160349145,1.674493209434269e-11,25835.430579711872,23211.175211003814,-3.977984648849187
15,0.24693914483489507,0.20992531007529888,6.47595217584221e-12,25835.43048567482,23211.17510652844,-3.9779846126109684
16,0.24693914367776446,0.20992530948428414,2.504516372327622e-12,25835.430449306845,23211.17506612353,-3.9779845985961657
17,0.24693914323025432,0.20992530925571448,9.685992250925397e-13,25835.430435241848,23211.17505049729,-3.977984593176064
18,0.24693914305718387,0.2099253091673172,3.7459705562952584e-13,25835.430429802334,23211.17504445398,-3.9779845910798874
19,0.2469391429902504,0.20992530913313032,1.4487204867720516e-13,25835.43042769865,23211.17504211679,-3.9779845902692097
20,0.2469391429643645,0.20992530911990886,5.602796437537268e-14,25835.43042688508,23211.175041212904,-3.97798458995569
21,0.24693914295435326,0.20992530911479557,2.1668312284603977e-14,25835.43042657043,23211.17504086333,-3.9779845898344384
22,0.24693914295048164,0.209925309112818,8.380025269479489e-15,25835.430426448747,23211.175040728132,-3.977984589787545
23,0.2469391429489844,0.2099253091120534,3.2408995492930828e-15,25835.43042640169,23211.17504067586,-3.9779845897694104
24,0.24693914294840513,0.20992530911175755,1.2533888086068392e-15,25835.430426383486,23211.175040655635,-3.9779845897623964
25,0.24693914294818153,0.20992530911164364,4.847368706270256e-16,25835.43042637648,23211.175040647853,-3.9779845897596955
26,0.24693914294809577,0.2099253091116001,1.8746763345242816e-16,25835.430426373798,23211.175040644874,-3.9779845897586616
27,0.2469391429480629,0.20992530911158372,7.25014244259854e-17,25835.43042637279,23211.175040643735,-3.9779845897582744
28,0.2469391429480504,0.20992530911157742,2.803927508441479e-17,25835.4304263724,23211.175040643313,-3.9779845897581243
29,0.24693914294804567,0.20992530911157495,1.0843937943068879e-17,25835.43042637225,23211.175040643146,-3.9779845897580675
30,0.24693914294804373,0.20992530911157403,4.193795658379545e-18,25835.430426372193,23211.175040643087,-3.9779845897580444
31,0.24693914294804314,0.20992530911157364,1.62191282508075e-18,25835.43042637217,23211.175040643047,-3.9779845897580364
32,0.24693914294804287,0.2099253091115735,6.272602259257111e-19,25835.430426372164,23211.175040643033,-3.9779845897580337
33,0.24693914294804276,0.20992530911157345,2.4258726174681134e-19,25835.430426372164,23211.175040643033,-3.977984589758033
34,0.24693914294804276,0.20992530911157342,9.381844588498686e-20,25835.430426372164,23211.175040643033,-3.977984589758033
35,0.24693914294804273,0.20992530911157342,3.628344178047045e-20,25835.430426372164,23211.175040643033,-3.977984589758033
36,0.24693914294804273,0.20992530911157342,1.403229540863101e-20,25835.430426372164,23211.175040643033,-3.977984589758033
37,0.24693914294804273,0.20992530911157342,5.4268642877498394e-21,25835.430426372164,23211.175040643033,-3.977984589758033
38,0.24693914294804273,0.20992530911157342,2.09879104879305e-21,25835.430426372164,23211.175040643033,-3.977984589758033
39,0.24693914294804273,0.20992530911157342,8.116885982273736e-22,25835.430426372164,23211.175040643033,-3.977984589758033
40,0.24693914294804273,0.20992530911157342,3.13913279204803e-22,25835.430426372164,23211.175040643033,-3.977984589758033
41,0.24693914294804273,0.20992530911157342,1.214031428756246e-22,25835.430426372164,23211.175040643033,-3.977984589758033
42,0.24693914294804273,0.20992530911157342,4.6951575726311965e-23,25835.430426372164,23211.175040643033,-3.977984589758033
43,0.24693914294804273,0.20992530911157342,1.8158100449195357e-23,25835.430426372164,23211.175040643033,-3.977984589758033
44,0.24693914294804273,0.20992530911157342,7.02248235171148e-24,25835.430426372164,23211.175040643033,-3.977984589758033
45,0.24693914294804273,0.20992530911157342,2.7158820118920625e-24,25835.430426372164,23211.175040643033,-3.977984589758033
46,0.24693914294804273,0.20992530911157342,1.0503429888608105e-24,25835.430426372164,23211.175040643033,-3.977984589758033
47,0.24693914294804273,0.20992530911157342,4.0621072249028845e-25,25835.430426372164,23211.175040643033,-3.977984589758033
48,0.24693914294804273,0.20992530911157342,1.570983505540872e-25,25835.430426372164,23211.175040643033,-3.977984589758033
49,0.24693914294804273,0.20992530911157342,6.075637687630151e-26,25835.430426372164,23211.175040643033,-3.977984589758033
50,0.24693914294804273,0.20992530911157342,2.3496983374528173e-26,25835.430426372164,23211.175040643033,-3.977984589758033
51,0.24693914294804273,0.20992530911157342,9.087247398358463e-27,25835.430426372164,23211.175040643033,-3.977984589758033
52,0.24693914294804273,0.20992530911157342,3.514411359225396e-27,25835.430426372164,23211.175040643033,-3.977984589758033
53,0.24693914294804273,0.20992530911157342,1.3591670459069601e-27,25835.430426372164,23211.175040643033,-3.977984589758033
54,0.24693914294804273,0.20992530911157342,5.256456543796873e-28,25835.430426372164,23211.175040643033,-3.977984589758033
55,0.24693914294804273,0.20992530911157342,2.0328873834921067e-28,25835.430426372164,23211.175040643033,-3.977984589758033
56,0.24693914294804273,0.20992530911157342,7.862009472594839e-29,25835.430426372164,23211.175040643033,-3.977984589758033
57,0.24693914294804273,0.20992530911157342,3.0405615898403024e-29,25835.430426372164,23211.175040643033,-3.977984589758033
58,0.24693914294804273,0.20992530911157342,1.1759099011312888e-29,25835.430426372164,23211.175040643033,-3.977984589758033
59,0.24693914294804273,0.20992530911157342,4.547725986537947e-30,25835.430426372164,23211.175040643033,-3.977984589758033
60,0.24693914294804273,0.20992530911157342,1.7587922024243118e-30,25835.430426372164,23211.175040643033,-3.977984589758033
61,0.24693914294804273,0.20992530911157342,6.801970964093775e-31,25835.430426372164,23211.175040643033,-3.977984589758033
62,0.24693914294804273,0.20992530911157342,2.6306012121614193e-31,25835.430426372164,23211.175040643033,-3.977984589758033
