Epoch,Train Loss,Val Loss,Learning Rate,RMSE,MAE,R2
1,0.12422803145384044,0.06259525147920647,0.099498743710662,14082.608816422615,11019.188442824316,-0.1711193774337587
2,0.04753707929783792,0.05387107720277263,0.09899494936611666,13064.423534421872,10665.82041040784,-0.00789534197102304
3,0.045002864563538005,0.053503878753535135,0.09848857801796106,13019.822246724543,10733.312634406577,-0.001025280598900391
4,0.04501924815823331,0.053458557879988135,0.09797958971132713,13014.306808029949,10753.433060927247,-0.00017735440707444816
5,0.04502213008038053,0.053456747891383986,0.09746794344808964,13014.086488334306,10759.827677657044,-0.00014349061266250018
6,0.04503048590520327,0.05345763077886332,0.09695359714832658,13014.193957709336,10761.120714450195,-0.00016000890455702965
7,0.045031649400482425,0.053457492075667815,0.09643650760992956,13014.177074137866,10760.922153150921,-0.00015741385147993725
8,0.04503032721643172,0.053457128496159106,0.0959166304662544,13014.132817514814,10760.393761205512,-0.0001506114983007567
9,0.045028447165906295,0.05345672320715863,0.09539392014169457,13014.083483637112,10759.790484232408,-0.00014302878570360278
10,0.04502643620497265,0.05345631646890295,0.09486832980505139,13014.03397316054,10759.168746438283,-0.0001354189584166221
11,0.04502438876127723,0.053455917158717815,0.09433981132056604,13013.985366687413,10758.541126267817,-0.000127948105846043
12,0.045022325761128065,0.05345552730525537,0.0938083151964686,13013.937911169152,10757.910431656152,-0.00012065418284956664
13,0.04502025177784789,0.05345514743663433,0.09327379053088815,13013.891670904763,10757.277273271427,-0.00011354707020982957
14,0.045018167713244,0.05345477775129005,0.09273618495495704,13013.846670062267,10756.641762601186,-0.0001066304805323881
15,0.045016073634573515,0.05345441837622903,0.09219544457292889,13013.802924114767,10756.003896071476,-9.990679003157865e-05
16,0.045013969414618674,0.05345406942450706,0.0916515138991168,13013.760446837034,10755.363642689577,-9.337811391429973e-05
17,0.04501185487725392,0.05345373100818983,0.091104335791443,13013.71925188311,10754.720964194217,-8.704654886182439e-05
18,0.045009716406459975,0.053453184755367006,0.09055385138137417,13013.65275700142,10753.948001145156,-7.682648822338045e-05
19,0.04500775218455458,0.05345308781343238,0.09000000000000001,13013.640956308413,10753.431441493865,-7.501276313282013e-05
20,0.045005514459615675,0.05345277893287569,0.08944271909999159,13013.603356362048,10752.775373927345,-6.923379433443344e-05
21,0.045003315822010004,0.05345248645810382,0.0888819441731559,13013.567753387279,10752.128402152068,-6.376176786826449e-05
22,0.045001185476344796,0.05345202160580326,0.08831760866327848,13013.511166683253,10751.362265612952,-5.5064661873993614e-05
23,0.04499916007723573,0.05345193354649755,0.08774964387392123,13013.50044715202,10750.824398294497,-5.341712541029331e-05
24,0.04499686865670277,0.053451668231601086,0.08717797887081347,13013.46815009952,10750.153757070157,-4.845324382163341e-05
25,0.044994676828461984,0.053451238110526086,0.08660254037844387,13013.415790852787,10749.37613219436,-4.0405938096954586e-05
26,0.04499260563955065,0.053451181796630734,0.08602325267042626,13013.408935667068,10748.827972897958,-3.935233910135061e-05
27,0.044990276124541734,0.05345095224324107,0.08544003745317531,13013.38099170737,10748.14896778275,-3.505753372157194e-05
28,0.0449880457278443,0.05345055651225353,0.08485281374238571,13013.332818499726,10747.361279132643,-2.7653645778613622e-05
29,0.04498593375778418,0.053450537139294714,0.08426149773176358,13013.330460182053,10746.805541393816,-2.7291189410139083e-05
30,0.044983565095040874,0.053450344737049474,0.08366600265340757,13013.307038562873,10746.11784994651,-2.369145952130225e-05
31,0.044981291295560666,0.053450166322832386,0.08306623862918075,13013.285319704597,10745.431702141861,-2.035343719741789e-05
32,0.04497901458533684,0.05344983136610081,0.0824621125123532,13013.244544393252,10744.638789692373,-1.4086598904006209e-05
33,0.04497684317582099,0.053449851175034445,0.0818535277187245,13013.246955799113,10744.064425961798,-1.4457212096807837e-05
34,0.04497441987959529,0.053449710683990494,0.08124038404635961,13013.229853358123,10743.364655745709,-1.1828709454375641e-05
35,0.044972088047107825,0.05344958441259747,0.08062257748298551,13013.214481903251,10742.665681179364,-9.466247899547753e-06
36,0.044969751719578475,0.05344930447547194,0.08000000000000002,13013.18040412074,10741.860238680605,-4.22879322936609e-06
37,0.04496751575240317,0.05344937445554348,0.07937253933193772,13013.188923062251,10741.271028514124,-5.538078132971691e-06
38,0.04496503113517171,0.05344928869812139,0.07874007874011812,13013.178483482801,10740.557754505435,-3.933608522688203e-06
39,0.044962635235232286,0.05344921759158351,0.07810249675906655,13013.16982740524,10739.844683373063,-2.6032481128535068e-06
40,0.04496023248919148,0.0534489883024174,0.07745966692414835,13013.141915097143,10739.02069997893,1.6866138033977407e-06
41,0.044957927860992924,0.05344911933842658,0.07681145747868609,13013.157866653877,10738.420329433497,-7.64990845336655e-07
42,0.04495537485868024,0.05344909164626228,0.0761577310586391,13013.15449557352,10737.692055296553,-2.4688716404597244e-07
