Epoch,Train Loss,Val Loss,Learning Rate,RMSE,MAE,R2
1,0.1726027134586773,0.09803510523202982,0.001,16609.60691561321,13259.706839236022,-0.796339541402016
2,0.09800578530266697,0.06485313616723223,0.001,13509.337015956447,10685.330739251913,-0.1883320021475967
3,0.06840045499798983,0.055154855508727035,0.001,12458.346925755764,10074.671049725679,-0.010626220231474415
4,0.057026168880535286,0.05341359616698987,0.001,12260.112466827906,10023.969448086653,0.02127962614870793
5,0.05272541171076176,0.05398510485127158,0.001,12325.527626229108,10101.104813711028,0.010807625885127403
6,0.05112163642951024,0.054966411463176275,0.001,12437.045899609328,10174.34584846015,-0.0071732786595406495
7,0.05053068571710785,0.0558043891357595,0.001,12531.490352217554,10228.789816951867,-0.022527905193684195
8,0.05031224894132728,0.056401804549258604,0.001,12598.389886452718,10288.867621666504,-0.03347460563707649
9,0.05022629679886894,0.056791412222174174,0.001,12641.828053428146,10335.368051410003,-0.04061355516781262
10,0.0501847041561899,0.05703014108109519,0.001,12668.370836274446,10362.264810056162,-0.044987887076149535
11,0.05015616367143825,0.057167317268665786,0.001,12683.59747820483,10377.075856537287,-0.047501425561048194
12,0.050130271911516346,0.057238481872215315,0.001,12691.489596436346,10384.345314468083,-0.048805405303831595
13,0.05010396050544909,0.057267451440770466,0.001,12694.700901634593,10386.95113279439,-0.049336227210635464
14,0.05007650044213339,0.05726964411848033,0.001,12694.943929048613,10386.636056699752,-0.04937640459058956
15,0.0500478519292956,0.057256298037836696,0.001,12693.464632118845,10384.682946924788,-0.04913185859529379
16,0.05001825638134201,0.05723202350893334,0.001,12690.773569735711,10381.550500364256,-0.04868706592623129
17,0.049987978474251356,0.057200715498344205,0.001,12687.301936187336,10377.670692211574,-0.04811339573685558
18,0.04995735071599683,0.05716591884912561,0.001,12683.442344993478,10373.429798464158,-0.04747580171630883
19,0.04992628738140844,0.057128541603548647,0.001,12679.295209202037,10368.918104971446,-0.04679092231499937
20,0.04989490730763973,0.057089534620126704,0.001,12674.965801369015,10364.259707089652,-0.04607618052382412
21,0.04986330307466059,0.05704912057960512,0.001,12670.478663116253,10359.431296930989,-0.0453356566181784
22,0.04983116720581596,0.05700843257630835,0.001,12665.959501150088,10354.60980107203,-0.04459011277437264
23,0.04979903671386386,0.056966032793737416,0.001,12661.248497918103,10349.585884939883,-0.043813203260185674
24,0.04976664078767552,0.056923607155959344,0.001,12656.532866806869,10344.582351905883,-0.043035819989880375
25,0.04973395597302807,0.05688066541923706,0.001,12651.758081199656,10339.530200957704,-0.04224898001589272
26,0.04970098036764544,0.056837118233891856,0.001,12646.914133433018,10334.380822577747,-0.041451046145497994
27,0.04966755421193766,0.056792936360385675,0.001,12641.997689673939,10329.136376278246,-0.04064148261002165
28,0.04963362932371825,0.05674862961634624,0.001,12637.065429790988,10323.886670734571,-0.039829631017876066
29,0.04959953347319467,0.056702317875332094,0.001,12631.907913596559,10318.347700157285,-0.03898104100088173
30,0.04956482362171622,0.05665668085248535,0.001,12626.823476713806,10312.92688371311,-0.03814481413605164
31,0.04952995156661976,0.056609986412571575,0.001,12621.619112694072,10307.369324937577,-0.03728921176196143
32,0.04949458967640367,0.056562918075362206,0.001,12616.370902968929,10301.769272047663,-0.03642675830636377
33,0.04945879868904194,0.05651577846254268,0.001,12611.112556831316,10296.192434595316,-0.03556299883700165
34,0.04942274688872433,0.05646736617314732,0.001,12605.709962623941,10290.457537446033,-0.03467591956550131
35,0.04938600485877112,0.05641885865169915,0.001,12600.29441765184,10284.719588128328,-0.03378709531599866
36,0.0493488042872979,0.056369953647309665,0.001,12594.832139046155,10278.933609646312,-0.032890987815023864
37,0.04931127809495896,0.05632023823510829,0.001,12589.27691546114,10273.052729663481,-0.031980030861970654
38,0.04927328329717293,0.05627002997641796,0.001,12583.664131962989,10267.101251106908,-0.031060043270006332
39,0.04923447893697975,0.05621885829299559,0.001,12577.941069968992,10261.045575153195,-0.030122402430899253
40,0.04919526839936797,0.05616704915707399,0.001,12572.144060905417,10254.937579509395,-0.029173081274548318
41,0.04915421507766772,0.05611127158978692,0.001,12565.900028117867,10248.306220780049,-0.02815104483766384
42,0.04910955834207451,0.05605099836236492,0.001,12559.149237863841,10241.107972168784,-0.027046632479969857
43,0.04906272278255691,0.05598995639881722,0.001,12552.308646341695,10233.853130056137,-0.025928134238487832
44,0.049014811719379076,0.05592784453864429,0.001,12545.344329587417,10226.436004046447,-0.02479003181941497
45,0.048965950616236494,0.05586454304558705,0.001,12538.242644632439,10218.884477989455,-0.023630131243601582
46,0.04891648745711638,0.05579967926140383,0.001,12530.961513972308,10211.129705839418,-0.02244160413326224
47,0.048865469001872365,0.05573331296018486,0.001,12523.50734036442,10203.192780296586,-0.021225545754846253
48,0.048812189343317686,0.05566384857597368,0.001,12515.700438937929,10194.893540115534,-0.019952719864749557
49,0.04875694430161937,0.05559337668803779,0.001,12507.775327770123,10186.506058909245,-0.018661433049104614
50,0.04870038514602817,0.05552091504820038,0.001,12499.621213993101,10177.8559260654,-0.017333687150666632
50,0.04870038514602817,0.05552091504820038,0.001,12499.621213993101,10177.8559260654,-0.017333687150666632
