Epoch,Train Loss,Learning Rate,Rmse Train,Mae Train,R2 Train
1,1099124332.2159522,0.0095005,33153.044086719274,28651.67830048362,-5.188159573815028
2,881274469.6821829,0.009001,29686.267358531,25256.756122735027,-3.9616470920335214
3,254087279.64646056,0.0085015,15940.11542136572,12326.763692921551,-0.4305320936339161
4,108316890.90957047,0.008002,10407.540098869202,8564.364034061093,0.3901670758788722
5,104778557.90128383,0.0075025000000000005,10236.1397949268,8328.083107311417,0.4100881791051363
6,104699172.65937217,0.007003,10232.26136586493,8340.85883789753,0.4105351244873452
7,103395478.9843599,0.0065035,10168.356749463504,8264.63782868664,0.4178750261343983
8,103363500.87895676,0.006004,10166.784195553511,8283.350888782936,0.4180550654741745
9,103603930.73722658,0.0055045,10178.601610104732,8304.839766608038,0.41670142577602975
10,103797309.45145327,0.005005,10188.096458684187,8319.323148219122,0.41561268785372285
11,103834808.91025598,0.0045055,10189.936648981475,8323.469432740492,0.41540156284429475
12,103042500.84386323,0.004005999999999999,10150.98521542925,8275.576990415262,0.419862321834657
13,102474812.19031121,0.003506499999999999,10122.984351974035,8246.500513227478,0.4230584552232627
14,102321123.97840056,0.0030069999999999993,10115.390451109663,8254.49709568295,0.42392373238258085
15,102670400.66308197,0.0025074999999999993,10132.640359900375,8292.617843080876,0.42195727618024714
16,102447415.18537466,0.0020079999999999994,10121.631053608631,8277.51673068303,0.42321270259403143
17,100783526.73546135,0.0015084999999999994,10039.099896677055,8159.131916780102,0.43258053018122766
18,99806647.77484082,0.0010089999999999995,9990.327711083393,8101.208520044961,0.438080438349428
19,99400430.44499627,0.0005094999999999995,9969.97645157682,8076.183544427616,0.4403674750249408
20,99147322.12947804,1e-05,9957.274834485483,8086.365570804519,0.44179249547074406
1,1099124332.2159522,0.0095005,33153.044086719274,28651.67830048362,-5.188159573815028
2,881274469.6821829,0.009001,29686.267358531,25256.756122735027,-3.9616470920335214
3,254087279.64646056,0.0085015,15940.11542136572,12326.763692921551,-0.4305320936339161
4,108316890.90957047,0.008002,10407.540098869202,8564.364034061093,0.3901670758788722
5,104778557.90128383,0.0075025000000000005,10236.1397949268,8328.083107311417,0.4100881791051363
6,104699172.65937217,0.007003,10232.26136586493,8340.85883789753,0.4105351244873452
7,103395478.9843599,0.0065035,10168.356749463504,8264.63782868664,0.4178750261343983
8,103363500.87895676,0.006004,10166.784195553511,8283.350888782936,0.4180550654741745
9,103603930.73722658,0.0055045,10178.601610104732,8304.839766608038,0.41670142577602975
10,103797309.45145327,0.005005,10188.096458684187,8319.323148219122,0.41561268785372285
11,103834808.91025598,0.0045055,10189.936648981475,8323.469432740492,0.41540156284429475
12,103042500.84386323,0.004005999999999999,10150.98521542925,8275.576990415262,0.419862321834657
13,102474812.19031121,0.003506499999999999,10122.984351974035,8246.500513227478,0.4230584552232627
14,102321123.97840056,0.0030069999999999993,10115.390451109663,8254.49709568295,0.42392373238258085
15,102670400.66308197,0.0025074999999999993,10132.640359900375,8292.617843080876,0.42195727618024714
16,102447415.18537466,0.0020079999999999994,10121.631053608631,8277.51673068303,0.42321270259403143
17,100783526.73546135,0.0015084999999999994,10039.099896677055,8159.131916780102,0.43258053018122766
18,99806647.77484082,0.0010089999999999995,9990.327711083393,8101.208520044961,0.438080438349428
19,99400430.44499627,0.0005094999999999995,9969.97645157682,8076.183544427616,0.4403674750249408
20,99147322.12947804,1e-05,9957.274834485483,8086.365570804519,0.44179249547074406
